2017-08-22 15:01:55,661 INFO: android_total=88, ios_total=12, android_error=37, ios_error=6
2017-08-22 15:01:56,573 INFO: android_total=85, ios_total=15, android_error=45, ios_error=5
2017-08-22 15:01:57,134 INFO: android_total=25, ios_total=2, android_error=10, ios_error=0
2017-08-22 15:01:57,687 INFO: android_total=19, ios_total=5, android_error=3, ios_error=2
2017-08-22 15:02:09,787 INFO: android_total=37, ios_total=12, android_error=21, ios_error=5
2017-08-22 15:02:10,060 INFO: android_total=12, ios_total=1, android_error=5, ios_error=0
2017-08-22 15:02:22,675 INFO: android_total=85, ios_total=15, android_error=33, ios_error=5
2017-08-22 15:02:22,969 INFO: android_total=18, ios_total=4, android_error=7, ios_error=0
2017-08-22 15:02:23,288 INFO: android_total=15, ios_total=2, android_error=3, ios_error=0
2017-08-22 15:02:35,961 INFO: android_total=68, ios_total=32, android_error=36, ios_error=9
2017-08-22 15:02:36,516 INFO: android_total=78, ios_total=22, android_error=35, ios_error=5
2017-08-22 15:02:37,073 INFO: android_total=71, ios_total=29, android_error=37, ios_error=12
2017-08-22 15:02:37,657 INFO: android_total=81, ios_total=19, android_error=37, ios_error=6
2017-08-22 15:02:38,219 INFO: android_total=76, ios_total=24, android_error=43, ios_error=2
2017-08-22 15:02:38,801 INFO: android_total=93, ios_total=7, android_error=29, ios_error=3
2017-08-22 15:02:39,352 INFO: android_total=82, ios_total=18, android_error=39, ios_error=5
2017-08-22 15:02:39,931 INFO: android_total=75, ios_total=25, android_error=39, ios_error=1
2017-08-22 15:02:40,504 INFO: android_total=77, ios_total=23, android_error=41, ios_error=10
2017-08-22 15:02:41,050 INFO: android_total=37, ios_total=8, android_error=17, ios_error=3
2017-08-22 15:02:41,639 INFO: android_total=52, ios_total=3, android_error=15, ios_error=1
2017-08-22 15:02:54,280 INFO: android_total=73, ios_total=27, android_error=35, ios_error=7
2017-08-22 15:02:54,917 INFO: android_total=73, ios_total=27, android_error=33, ios_error=12
2017-08-22 15:02:55,456 INFO: android_total=81, ios_total=19, android_error=38, ios_error=7
2017-08-22 15:02:56,056 INFO: android_total=77, ios_total=23, android_error=41, ios_error=5
2017-08-22 15:02:56,594 INFO: android_total=77, ios_total=23, android_error=35, ios_error=9
2017-08-22 15:02:57,109 INFO: android_total=68, ios_total=32, android_error=33, ios_error=12
2017-08-22 15:02:57,441 INFO: android_total=17, ios_total=2, android_error=8, ios_error=0
2017-08-22 15:02:57,900 INFO: android_total=80, ios_total=12, android_error=21, ios_error=5
2017-08-22 15:03:10,800 INFO: android_total=75, ios_total=25, android_error=35, ios_error=7
2017-08-22 15:03:11,306 INFO: android_total=70, ios_total=30, android_error=29, ios_error=12
2017-08-22 15:03:11,812 INFO: android_total=78, ios_total=22, android_error=34, ios_error=6
2017-08-22 15:03:12,341 INFO: android_total=82, ios_total=18, android_error=46, ios_error=5
2017-08-22 15:03:12,735 INFO: android_total=84, ios_total=16, android_error=30, ios_error=8
2017-08-22 15:03:13,110 INFO: android_total=70, ios_total=30, android_error=37, ios_error=13
2017-08-22 15:03:13,516 INFO: android_total=56, ios_total=19, android_error=25, ios_error=6
2017-08-22 15:03:13,774 INFO: android_total=28, ios_total=6, android_error=8, ios_error=1
2017-08-22 15:03:27,583 INFO: android_total=70, ios_total=30, android_error=47, ios_error=12
2017-08-22 15:03:28,170 INFO: android_total=88, ios_total=12, android_error=55, ios_error=8
2017-08-22 15:03:28,714 INFO: android_total=88, ios_total=12, android_error=52, ios_error=3
2017-08-22 15:03:29,470 INFO: android_total=93, ios_total=7, android_error=55, ios_error=2
2017-08-22 15:03:30,006 INFO: android_total=88, ios_total=12, android_error=40, ios_error=0
2017-08-22 15:03:30,571 INFO: android_total=87, ios_total=13, android_error=58, ios_error=4
2017-08-22 15:03:31,252 INFO: android_total=87, ios_total=13, android_error=54, ios_error=3
2017-08-22 15:03:31,842 INFO: android_total=85, ios_total=15, android_error=60, ios_error=10
2017-08-22 15:03:33,322 INFO: android_total=91, ios_total=9, android_error=63, ios_error=2
2017-08-22 15:03:33,649 INFO: android_total=19, ios_total=1, android_error=15, ios_error=1
2017-08-22 15:03:34,039 INFO: android_total=76, ios_total=4, android_error=31, ios_error=2
2017-08-22 15:03:35,285 INFO: android_total=86, ios_total=14, android_error=59, ios_error=5
2017-08-22 15:03:35,946 INFO: android_total=83, ios_total=17, android_error=56, ios_error=5
2017-08-22 15:03:36,588 INFO: android_total=88, ios_total=12, android_error=64, ios_error=3
2017-08-22 15:03:37,207 INFO: android_total=91, ios_total=9, android_error=64, ios_error=3
2017-08-22 15:03:37,855 INFO: android_total=88, ios_total=12, android_error=57, ios_error=2
2017-08-22 15:03:38,254 INFO: android_total=84, ios_total=16, android_error=39, ios_error=8
2017-08-22 15:03:39,058 INFO: android_total=85, ios_total=15, android_error=54, ios_error=3
2017-08-22 15:03:39,654 INFO: android_total=78, ios_total=22, android_error=53, ios_error=8
2017-08-22 15:03:40,150 INFO: android_total=88, ios_total=12, android_error=52, ios_error=9
2017-08-22 15:03:40,459 INFO: android_total=14, ios_total=5, android_error=7, ios_error=2
2017-08-22 15:03:40,798 INFO: android_total=75, ios_total=6, android_error=32, ios_error=1
2017-08-22 15:03:42,392 INFO: android_total=88, ios_total=12, android_error=62, ios_error=4
2017-08-22 15:03:42,861 INFO: android_total=85, ios_total=15, android_error=51, ios_error=6
2017-08-22 15:03:43,273 INFO: android_total=45, ios_total=10, android_error=29, ios_error=4
2017-08-22 15:03:43,644 INFO: android_total=49, ios_total=6, android_error=19, ios_error=1
2017-08-22 15:03:56,100 INFO: android_total=68, ios_total=32, android_error=43, ios_error=11
2017-08-22 15:03:56,556 INFO: android_total=87, ios_total=13, android_error=59, ios_error=6
2017-08-22 15:03:57,027 INFO: android_total=87, ios_total=13, android_error=48, ios_error=6
2017-08-22 15:03:57,702 INFO: android_total=90, ios_total=10, android_error=52, ios_error=1
2017-08-22 15:03:58,292 INFO: android_total=88, ios_total=12, android_error=40, ios_error=0
2017-08-22 15:03:58,737 INFO: android_total=86, ios_total=14, android_error=56, ios_error=7
2017-08-22 15:03:59,241 INFO: android_total=91, ios_total=9, android_error=54, ios_error=1
2017-08-22 15:03:59,732 INFO: android_total=83, ios_total=17, android_error=50, ios_error=8
2017-08-22 15:04:00,220 INFO: android_total=89, ios_total=11, android_error=66, ios_error=7
2017-08-22 15:04:00,496 INFO: android_total=24, ios_total=2, android_error=17, ios_error=0
2017-08-22 15:04:00,827 INFO: android_total=70, ios_total=4, android_error=28, ios_error=2
2017-08-22 15:04:02,193 INFO: android_total=91, ios_total=9, android_error=61, ios_error=1
2017-08-22 15:04:02,702 INFO: android_total=87, ios_total=13, android_error=61, ios_error=5
2017-08-22 15:04:03,237 INFO: android_total=86, ios_total=14, android_error=50, ios_error=4
2017-08-22 15:04:03,713 INFO: android_total=87, ios_total=13, android_error=63, ios_error=3
2017-08-22 15:04:04,255 INFO: android_total=89, ios_total=11, android_error=60, ios_error=6
2017-08-22 15:04:04,741 INFO: android_total=85, ios_total=15, android_error=37, ios_error=6
2017-08-22 15:04:05,450 INFO: android_total=87, ios_total=13, android_error=58, ios_error=4
2017-08-22 15:04:05,923 INFO: android_total=87, ios_total=13, android_error=50, ios_error=1
